hash(variantID),hash(customerId),isReturned,yearOfBirth,isMale,shippingCountry,premier,productType,brandDesc,avgGbpPrice,avgDiscountValue,has_complete_metadata,yearOfBirth__missing,isMale__missing,shippingCountry__missing,premier__missing,productType__missing,brandDesc__missing,avgGbpPrice__missing,avgDiscountValue__missing
8262848653457749222,-1460347154,0,1992.0,0.0,Country_G,0.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
-1567841582771857859,-1457538806,1,0.0,0.0,Unknown,0.0,Unknown,Unknown,0.0,0.0,False,1,1,1,1,1,1,1,1
7754674097260878582,-1223268503,1,2002.0,0.0,Country_G,0.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
-4404944052740977793,824610854,1,2003.0,0.0,Country_H,0.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
1654187440431947983,-1831163455,1,1997.0,0.0,Country_E,0.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
-7589649816717921509,1965638282,1,1995.0,0.0,Country_H,0.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
4882274325626953250,255338008,0,1992.0,0.0,Country_G,0.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
2894676250483206381,1614303803,0,1983.0,0.0,Country_G,0.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
2894676250483206381,-572123927,1,1992.0,0.0,Country_G,0.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
909067506003502027,-77410928,1,1984.0,0.0,Country_G,0.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
3841761259743592557,611311693,1,1991.0,0.0,Country_G,0.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
3841761259743592557,-1044930792,1,1977.0,0.0,Country_G,0.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
1773657695342074536,2143516120,1,1981.0,0.0,Country_G,0.0,productType_B,Brand_B,14.75,17.14,True,0,0,0,0,0,0,0,0
1773657695342074536,-1662228049,1,1984.0,0.0,Country_G,0.0,productType_B,Brand_B,14.75,17.14,True,0,0,0,0,0,0,0,0
-5435047160525608540,-828983942,0,1998.0,0.0,Country_G,0.0,productType_B,Brand_B,14.75,17.14,True,0,0,0,0,0,0,0,0
8058316623927194015,1722015710,1,1993.0,0.0,Country_G,0.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
3971727354948598228,197469792,1,1973.0,0.0,Country_G,1.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
5744040979037797967,158615026,0,1980.0,0.0,Country_G,0.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
-2988089672455372163,-828677956,1,1984.0,0.0,Country_H,0.0,Unknown,Unknown,0.0,0.0,False,0,0,0,0,1,1,1,1
1537024608144344266,993695551,0,1987.0,0.0,Country_E,0.0,productType_B,Brand_B,24.0,18.0,True,0,0,0,0,0,0,0,0
3067996428822420629,278586302,1,1981.0,0.0,Country_H,0.0,productType_B,Brand_B,24.0,18.0,True,0,0,0,0,0,0,0,0
-3611625473355394741,-75793162,1,1987.0,0.0,Country_E,0.0,productType_B,Brand_B,18.0,17.14,True,0,0,0,0,0,0,0,0
